Line 164: dO=1 dC=0 nO=0 nC=0 | Balance: div=1 nav=0
Line 167: dO=1 dC=0 nO=0 nC=0 | Balance: div=2 nav=0
Line 174: dO=1 dC=0 nO=0 nC=0 | Balance: div=3 nav=0
Line 175: dO=1 dC=0 nO=0 nC=0 | Balance: div=4 nav=0
Line 179: dO=0 dC=1 nO=0 nC=0 | Balance: div=3 nav=0
Line 180: dO=0 dC=1 nO=0 nC=0 | Balance: div=2 nav=0
Line 186: dO=0 dC=1 nO=0 nC=0 | Balance: div=1 nav=0
Line 189: dO=0 dC=0 nO=1 nC=0 | Balance: div=1 nav=1
Line 190: dO=1 dC=0 nO=0 nC=0 | Balance: div=2 nav=1
Line 193: dO=1 dC=0 nO=0 nC=0 | Balance: div=3 nav=1
Line 218: dO=0 dC=1 nO=0 nC=0 | Balance: div=2 nav=1
Line 221: dO=1 dC=0 nO=0 nC=0 | Balance: div=3 nav=1
Line 225: dO=0 dC=1 nO=0 nC=0 | Balance: div=2 nav=1
Line 228: dO=1 dC=0 nO=0 nC=0 | Balance: div=3 nav=1
Line 244: dO=1 dC=0 nO=0 nC=0 | Balance: div=4 nav=1
Line 256: dO=1 dC=0 nO=0 nC=0 | Balance: div=5 nav=1
Line 257: dO=1 dC=0 nO=0 nC=0 | Balance: div=6 nav=1
Line 258: dO=1 dC=0 nO=0 nC=0 | Balance: div=7 nav=1
Line 261: dO=0 dC=1 nO=0 nC=0 | Balance: div=6 nav=1
Line 262: dO=1 dC=0 nO=0 nC=0 | Balance: div=7 nav=1
Line 264: dO=1 dC=0 nO=0 nC=0 | Balance: div=8 nav=1
Line 267: dO=0 dC=1 nO=0 nC=0 | Balance: div=7 nav=1
Line 270: dO=1 dC=0 nO=0 nC=0 | Balance: div=8 nav=1
Line 275: dO=1 dC=1 nO=0 nC=0 | Balance: div=8 nav=1
Line 276: dO=1 dC=0 nO=0 nC=0 | Balance: div=9 nav=1
Line 277: dO=1 dC=0 nO=0 nC=0 | Balance: div=10 nav=1
Line 279: dO=0 dC=1 nO=0 nC=0 | Balance: div=9 nav=1
Line 280: dO=1 dC=0 nO=0 nC=0 | Balance: div=10 nav=1
Line 284: dO=0 dC=1 nO=0 nC=0 | Balance: div=9 nav=1
Line 285: dO=0 dC=1 nO=0 nC=0 | Balance: div=8 nav=1
Line 286: dO=0 dC=1 nO=0 nC=0 | Balance: div=7 nav=1
Line 289: dO=0 dC=1 nO=0 nC=0 | Balance: div=6 nav=1
